,S.No,Date,Startups,Industry Vertical,Sub Vertical,City,Investors,Round,Amount,Remarks
0,1,09-01-2020,BYJU’S,E-Tech,E-learning,Bengaluru,"General Atlantic, Prosus, Peak XV, Sofina, Chan Zuckerberg Initiative, and Verlinvest",Private Equity Round,3335.2,Unknown
1,2,13-01-2020,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,83.783509172,Unknown
2,3,09-01-2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,319.83617468,Unknown
3,4,02-01-2020,wealthbucket,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,25.014,Unknown
4,5,02-01-2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,15.0084,Unknown
5,6,13-01-2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,75.042,Unknown
6,7,10-01-2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,1250.7,Unknown
7,8,12-12-2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,50.028,Unknown
8,9,06-12-2019,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,583.66,Unknown
9,10,03-12-2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,416.9,Unknown
10,11,13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,166.76,Unknown
11,12,17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,100.056,Unknown
12,13,16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,250.14,Unknown
13,14,16-12-2019,InCred,Finance,Non-Banking Financial Company,Mumbai,Unknown,Debt Funding,49.1942,Unknown
14,15,14-12-2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,16.676,Unknown
15,16,11-12-2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,416.9,Unknown
16,17,20-12-2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1926.078,Unknown
17,18,13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,1250.7,Unknown
18,19,14-11-2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,4.052268,Unknown
19,20,13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,12.507,Unknown
20,21,17-11-2019,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0,Unknown
21,22,18-11-2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,100.056,Unknown
22,23,15-11-2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,216.788,Unknown
23,24,20-11-2019,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,145.17512756999997,Unknown
24,25,12-11-2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,10.8394,Unknown
25,26,20-11-2019,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,1125.63,Unknown
26,27,11-11-2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.5014,Unknown
27,28,19-11-2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,1834.36,Unknown
